name
KPR Institute of Engineering and Technology
Chennai Institute of Technology
PSG Institute of Medical Sciences and Research
"Orient Flight Aviation Academy, Chennai"
KCG College of Technology
KEC - Kongu Engineering College
Chettinad Hospital and Research Institute
Chennai
Mepco Schlenk Engineering College
Sardar Vallabhbhai Patel International School of Textiles and Management
DAV-SMK Fomra College
PSG Institute of Technology and Applied Research
"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur"
Sri Krishna College of Technology [SKCT]
"Saveetha Engineering College, Chennai"
Thiagarajar College of Engineering
SRM Easwari Engineering College
Sri Sairam Engineering College
Kings Cornerstone International College
Nulearn
Karpagam Academy of Higher Education - KAHE Coimbatore
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya
"Bharathidasan Institute of Management, Trichy (BIM, Trichy)"
Clusters Academy of Excellence
Rohini College of Engineering and Technology
Courses Offered
Thiagarajar School of Management
Rajalakshmi Institute of Technology
Arulmigu Kalasalingam College of Pharmacy
Dhaanish Ahmed College Of Engineering
"SRM Valliammai Engineering College, Chengalpattu"
R.M.K. Engineering College
IIIT Trichy - Indian Institute of Information Technology
Sri Ramakrishna Engineering College
Shikshaa Institute of Advanced Technologies
SASTRA (Deemed to be University)

